id,created_at,updated_at,walletAddress,vaultAddress,totalUserDepositAmount
23,Thu Feb 13 2025 11:40:12 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 11:40:12 GMT+0000 (Coordinated Universal Time),0x80e288008404C2F0f241CD53627af97647857B60,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,28600000000000000000
24,Thu Feb 13 2025 11:43:22 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 11:43:22 GMT+0000 (Coordinated Universal Time),0xE256A81179f350d0Fdb744AcF0D5509D9Fd3E69a,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,258000000000000000000
19,Thu Feb 13 2025 11:20:52 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 11:44:02 GMT+0000 (Coordinated Universal Time),0xa8EE60306B5F8c83e2059Dfa6F637BD64d7F4CAF,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,40260000000000000000
26,Thu Feb 13 2025 11:56:07 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 11:56:07 GMT+0000 (Coordinated Universal Time),0x326A99047a5e8e687812C8455Bedf45026ed63af,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,50760000000000000000
28,Thu Feb 13 2025 11:58:32 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 11:58:32 GMT+0000 (Coordinated Universal Time),0xaDE67E5B8DdBA109C3358a922425dF9321266B0a,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,20330000000000000000
29,Thu Feb 13 2025 12:01:15 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:01:15 GMT+0000 (Coordinated Universal Time),0xfa7b6424ec9e8d38D3e1F57D5432d4F12BD31375,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,10000000000000000
25,Thu Feb 13 2025 11:52:12 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:03:42 GMT+0000 (Coordinated Universal Time),0x49ed2DB8137B1B435964Dde2da26745e9a97E528,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,54790000000000000000
30,Thu Feb 13 2025 12:05:22 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:05:22 GMT+0000 (Coordinated Universal Time),0x2442c366F422942AE07381770d3c01c2114D0D0F,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,97320000000000000000
31,Thu Feb 13 2025 12:08:40 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:08:40 GMT+0000 (Coordinated Universal Time),0xCdF08E2F7b4510101A49caDbc72C0F138817c31E,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,76580000000000000000
32,Thu Feb 13 2025 12:09:42 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:09:42 GMT+0000 (Coordinated Universal Time),0x7cCD0f0F04d9F6e6B9Eb51e52f27004168523EBA,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,50000000000000000000
27,Thu Feb 13 2025 11:56:47 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:11:20 GMT+0000 (Coordinated Universal Time),0x2843786fBD7FF59701AC8eA447D90C7C676Df359,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,5280000000000000000
33,Thu Feb 13 2025 12:16:01 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:16:01 GMT+0000 (Coordinated Universal Time),0xD22a3d81C8BE60520A489d55F4E1CC6C3C081935,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,184600000000000000000
34,Thu Feb 13 2025 12:18:38 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 12:18:38 GMT+0000 (Coordinated Universal Time),0xE43Dd557405384DA34ee0Aa315d4804AfC6eE2f9,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,56620000000000000000
36,Thu Feb 13 2025 13:00:54 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:00:54 GMT+0000 (Coordinated Universal Time),0x65deB58659E29A5eD6f1211c59E87F934939C25A,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,1940000000000000000
37,Thu Feb 13 2025 13:05:54 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:09:51 GMT+0000 (Coordinated Universal Time),0x904a10FD9B63516c90803CFc3b55dD0B09BFc75c,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,19410000000000000000
35,Thu Feb 13 2025 12:40:51 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:21:29 GMT+0000 (Coordinated Universal Time),0x88F73A94B77361D687eF7902cd17F68BA23b8CE6,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,6420000000000000000
39,Thu Feb 13 2025 13:38:14 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:38:14 GMT+0000 (Coordinated Universal Time),0xCb369e3bB42C9e48277506ac2579C92B37F88888,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,101080000000000000000
38,Thu Feb 13 2025 13:31:19 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:43:24 GMT+0000 (Coordinated Universal Time),0xd60929fBE8e9aFf016f1D027Ff7DA9988DaF8142,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,107560000000000000000
40,Thu Feb 13 2025 13:47:12 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 13:47:12 GMT+0000 (Coordinated Universal Time),0xbE36Ccc15AE9b19316275Ae4E811519B98e4eF2c,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,17700000000000000000
41,Thu Feb 13 2025 14:11:42 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:11:42 GMT+0000 (Coordinated Universal Time),0x62b16496B56725A1Ec108B013cFC7A3C41cA92BE,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,500000000000000000
42,Thu Feb 13 2025 14:41:02 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:41:02 GMT+0000 (Coordinated Universal Time),0xAd0304D4180E75478Fb725Eb6f3e5595D62E445B,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,937000000000000000000
43,Thu Feb 13 2025 14:44:45 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:44:45 GMT+0000 (Coordinated Universal Time),0x0D5D60108479F4251a200a25b636aCb005261F9C,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,2273990000000000000000
44,Thu Feb 13 2025 14:47:15 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:47:15 GMT+0000 (Coordinated Universal Time),0xab64efF29F5c6141e69e6bcE77EFB32cb60873F4,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,930000000000000000000
45,Thu Feb 13 2025 14:52:02 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:52:02 GMT+0000 (Coordinated Universal Time),0xBfDD8694b840E1BbD8788582d9E9cef8fc7353F0,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,900000000000000000000
3,Thu Feb 13 2025 11:04:12 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 14:54:50 GMT+0000 (Coordinated Universal Time),0x3228e4cA48F44dC96f2a683195e9D324fD49D932,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,4700000000000000000000
47,Thu Feb 13 2025 15:20:52 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 15:20:52 GMT+0000 (Coordinated Universal Time),0x65b863361c644183B7439EbA09De46b3F76fB2d3,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,77650000000000000000
48,Thu Feb 13 2025 15:44:37 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 15:44:37 GMT+0000 (Coordinated Universal Time),0x5Ee7a6B9EA05677b3a960dd135c37694B308BBCA,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,77690000000000000000
49,Thu Feb 13 2025 15:57:01 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 15:57:01 GMT+0000 (Coordinated Universal Time),0x27b0B4033b6BdCdf12c8d4B86969E3AEe53Ca107,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,134530000000000000000
50,Thu Feb 13 2025 16:01:56 GMT+0000 (Coordinated Universal Time),Thu Feb 13 2025 16:01:56 GMT+0000 (Coordinated Universal Time),0x726F186C449c58B07EfD0d1490B79F80843C2dB7,0x927Cc95fBa49E30784DA6F343fCeb77b547488c4,508000000000000000
